S.No.,Name,CMP Rs.,Cur Assets Rs.Cr.,Cur Liab Rs.Cr.,Debt / Eq,Inven TO,ROE %,OPM %,P/E,B.V. Rs.,No. Eq. Shares Cr.,Asset Turnover,WC to Sales %,Dividend Payout %,Mar Cap Rs.Cr. 
1,HDFC Bank,1651,436715.5,174832.07,6.81,,17.14,33.6,18.48,600.76,763.08,0.09,83.4,23.12,1259841.5
2,ICICI Bank,1223,254098.3,161704.49,6.45,,18.8,34.44,19.02,364.76,704.66,0.07,55.33,15.87,861801.94
3,St Bk of India,799.75,780703.07,304771.04,13.51,,17.34,47.05,9.79,464.94,892.46,0.07,104.38,18.23,713745.84
4,Kotak Mah. Bank,1882.4,86727.38,43945.3,4,,15.06,15.88,20.08,653.81,198.81,0.08,72.26,2.18,374252.02
5,Axis Bank,1172.45,174989.54,65413.62,8.25,,18.4,62.96,13.57,508.73,309.34,0.08,93.12,1.17,362679.84
6,Bank of Baroda,242.42,144785.83,80283.84,12.14,,16.69,62.21,6.58,231.49,517.14,0.07,53.08,20.97,125364.16
7,Punjab Natl.Bank,104.91,175148.96,35877.6,13.15,,8.54,66.22,10.27,100.25,1149.29,0.07,123.76,18.14,120572.47
8,IndusInd Bank,1347.6,61593.11,19733.71,6.89,,15.25,60.48,11.69,806.83,77.9,0.09,88,14.35,104977.11
9,I O B,54.29,35342.97,7798.77,11.32,,9.98,51.55,36.81,14.78,1890.24,0.07,109.47,0,102621.2
10,Canara Bank,104.06,185939.13,72103.94,14.87,,17.94,57.92,6.05,101.57,907.07,0.08,99.64,19.12,94389.2
11,IDBI Bank,83.28,41469.94,18597.37,5.77,,11.77,68.52,14.23,47.5,1075.24,0.08,87.13,27.87,89546.01
12,Union Bank (I),114.12,170989.56,52830.63,12.82,,15.64,66.4,6.15,127.85,763.36,0.07,114.4,19.92,87114.71
13,Indian Bank,524.55,53104.41,24335.36,11.8,,15.35,64.12,7.73,447.29,134.7,0.07,49.91,19.2,70655
14,Yes Bank,21.4,77136.73,17469.22,8.41,,3.18,58.49,46.12,14.32,3134.69,0.07,206.56,0,67082.33
